,participant,intensity,subtech,start_frame,stop_frame,cycle_time,cycle_distance,cycle_speed
0,P3,easy,dp,2459,2879,1.75,5.377488670769766,11.062262408440663
1,P3,easy,dp,2879,3316,1.8208333333333333,5.5602582368429365,10.993279443094503
2,P3,easy,dp,3316,3721,1.6875,4.549125817270771,9.704801743510979
3,P3,easy,dp,3721,4141,1.75,5.137541183834932,10.568656149603289
4,P3,easy,dp,4141,4483,1.425,4.278466298260178,10.808756964025713
5,P3,easy,dp,4483,4879,1.65,4.820308766724013,10.517037309216029
6,P3,easy,dp,4879,5213,1.3916666666666666,3.1516863279371368,8.15286523154996
7,P3,easy,dp,5213,5555,1.425,3.1301468249309377,7.907739347193948
8,P3,easy,dp,5555,5961,1.6916666666666667,3.4670659842617493,7.378189680793476
9,P3,easy,dp,5961,6372,1.7125,2.8298460566365042,5.948873462126374
10,P3,easy,dp,6372,6724,1.4666666666666666,2.63424856082783,6.465882831122856
11,P3,easy,dp,6724,7110,1.6083333333333334,3.1880429284772402,7.13593028550346
12,P3,easy,dp,7110,7561,1.8791666666666667,4.259152941188984,8.159441554738985
13,P3,easy,dp,7561,7990,1.7875,5.569793556049095,11.217486322672304
14,P3,easy,dp,7990,8283,1.2208333333333334,4.715195436107402,13.904194050501008
15,P3,easy,dp,8283,8659,1.5666666666666667,6.177593608106185,14.195321482456766
16,P3,easy,dp,8659,8984,1.3541666666666667,4.5183378630295525,12.011827426638563
17,P3,easy,dp,8984,9356,1.55,5.507690179991861,12.792054611593999
18,P3,easy,dp,9356,9736,1.5833333333333333,5.917441143998676,13.454392495828571
19,P3,easy,dp,9736,10125,1.6208333333333333,6.09147507420279,13.529651578692057
20,P3,easy,dp,10125,10540,1.7291666666666667,7.64881924292154,15.924288737070386
21,P3,easy,dp,10540,10959,1.7458333333333333,8.135806182506595,16.77645952669618
22,P3,easy,dp,10959,11382,1.7625,8.299043619938717,16.951238032215254
23,P3,easy,dp,11382,11796,1.725,8.311889711164232,17.34655244069057
24,P3,easy,dp,11796,12226,1.7916666666666667,8.529963971308824,17.139276444676334
25,P3,easy,dp,12226,12658,1.8,8.674079094647876,17.348158189295752
0,P3,easy,dp,15998,16356,1.4916666666666667,5.499406509020205,13.27231068098731
1,P3,easy,dp,16356,16754,1.6583333333333334,5.443518423194035,11.817085220200115
2,P3,easy,dp,16754,17224,1.9583333333333333,7.599348114608942,13.969865470259842
3,P3,easy,dp,17224,17682,1.9083333333333334,7.027612495241931,13.257330122028447
4,P3,easy,dp,17682,18070,1.6166666666666667,4.658409519910768,10.373365528873462
5,P3,easy,dp,18070,18468,1.6583333333333334,5.75244527487027,12.487720395698274
6,P3,easy,dp,18468,18893,1.7708333333333333,5.95296528865169,12.102028257400143
7,P3,easy,dp,18893,19338,1.8541666666666667,5.900252293893619,11.455770745896825
0,P3,easy,dp,21919,22310,1.6291666666666667,1.6626008116594655,3.67388005440864
1,P3,easy,dp,22310,22591,1.1708333333333334,1.2787926387425597,3.9319460493721405
